,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
0,0.296,2018-01-08 21:29:44+00:00,0.0,0.905,0.095,BBC,"RT @bbc5live: Looking for some exercise and nutrition advice? 💪

Joe Wicks, aka @thebodycoach, shares his tips on how to sustain a long ter…",1
1,0.0,2018-01-08 21:29:01+00:00,0.0,1.0,0.0,BBC,"RT @bbcasiannetwork: 📡 The Asian Network Future Sounds 2018 list is live! 📡
⬇️ Get these artists on your radar right now ⬇️
@rikaldn 
@nash…",2
2,-0.1655,2018-01-08 21:28:07+00:00,0.099,0.831,0.069,BBC,"RT @bbcthesocial: Jordan thought nobody would give him a chance after prison, but now he's training to be a chef 

#IntoIt https://t.co/GVV…",3
3,0.3182,2018-01-08 21:27:12+00:00,0.0,0.905,0.095,BBC,"RT @bbcworldservice: ""Our job as journalists is to bring the story back and to make sure that these things are not invisible."" @cmittermeie…",4
4,-0.25,2018-01-08 21:23:06+00:00,0.118,0.882,0.0,BBC,RT @BBCiPlayer: 🎁 #HardSun is the new #boxset to get stuck into this week. #iplayerit https://t.co/7AEUPTrmRV https://t.co/DTxDAF4217,5
5,0.0772,2018-01-08 21:22:32+00:00,0.0,0.939,0.061,BBC,RT @BBCWthrWatchers: Some cracking sunsets 🌇 in the north of the UK earlier. Cloudier conditions arriving overnight may limit the number of…,6
6,0.0,2018-01-08 20:30:06+00:00,0.0,1.0,0.0,BBC,"The #SilentWitness team are back. 

9pm | @BBCOne | https://t.co/nluMqMB9kB https://t.co/XNJzlzoti7",7
7,0.0,2018-01-08 20:04:03+00:00,0.0,1.0,0.0,BBC,Recy Taylor: who was the woman Oprah mentioned in her #GoldenGlobes speech? https://t.co/tiynXeMmCO https://t.co/1Pw4pUEQRY,8
8,0.0,2018-01-08 19:37:04+00:00,0.0,1.0,0.0,BBC,"Tonight, go beyond the theatre doors and discover how surgeons push medical boundaries to the limits. 🏥 

Surgeons:… https://t.co/ZOnkfmFkDY",9
9,0.1779,2018-01-08 19:02:01+00:00,0.088,0.793,0.119,BBC,"🦌❄ The moment a moose, which got stuck up to its neck in snow, is freed by rescuers in Canada. 👏 https://t.co/edDNzLFP2c",10
10,-0.126,2018-01-08 18:32:04+00:00,0.077,0.923,0.0,BBC,🏝😁 This year you can get 24 days off in a row using just 14 days of leave! https://t.co/ffVi0OKWIv https://t.co/3bIJLmeK4s,11
11,0.0,2018-01-08 18:02:04+00:00,0.0,1.0,0.0,BBC,🎒📚 It was a big day for Princess Charlotte today as she started at nursery school. https://t.co/uZm4XqMPhV https://t.co/tVw11CKnVf,12
12,0.0,2018-01-08 17:30:06+00:00,0.0,1.0,0.0,BBC,♿✈This mum is taking on the global airline industry to get wheelchairs allowed on planes. https://t.co/C5suKv2fJy,13
13,0.0,2018-01-08 17:09:03+00:00,0.0,1.0,0.0,BBC,"This #MeatFreeMonday, why not give one of these veggie pasta bakes a go? 🍅🍆🍝 https://t.co/BFvmdF4FZi https://t.co/ZRXjL2ZASs",14
14,0.0,2018-01-08 16:48:04+00:00,0.0,1.0,0.0,BBC,"'I still have that karaoke machine!' 🎤❤️️

@Camila_Cabello explains how a @BritneySpears karaoke CD made her Christ… https://t.co/G2WJxboW67",15
15,0.0,2018-01-08 16:33:07+00:00,0.0,1.0,0.0,BBC,These are some of the most striking photographs taken last week from around the world. 📸 https://t.co/nbDyZEg9YW https://t.co/ixljaLS7bq,16
16,0.0,2018-01-08 16:00:05+00:00,0.0,1.0,0.0,BBC,Judi Dench and Maggie Smith star as two sisters whose lives are changed when they befriend a man they find on the b… https://t.co/a9hqMWL9bV,17
17,0.0772,2018-01-08 15:27:21+00:00,0.0,0.925,0.075,BBC,"📚Eight books that will make you want to run away with the circus. 🎪🤸 https://t.co/ahZU4Dn2kD

#LoveToRead https://t.co/FnPS49sYg6",18
18,0.6908,2018-01-08 15:00:07+00:00,0.0,0.769,0.231,BBC,💔💍 If you're married then it might be best to tread carefully today which has been dubbed #DivorceDay by lawyers.… https://t.co/tamDjAjpmp,19
19,0.5106,2018-01-08 14:30:06+00:00,0.0,0.71,0.29,BBC,Repeat bouts of warmer seawater are posing a significant challenge to the world's coral reefs. 🌊 🐠 🐢… https://t.co/nLE91lQxyt,20
20,0.3182,2018-01-08 14:03:04+00:00,0.111,0.728,0.161,BBC,"'Having kids ruins your life in the best way possible.'
11 things we learned from Charlie Brooker’s Desert Island D… https://t.co/qcyMA9KdNA",21
21,-0.6739,2018-01-08 13:43:59+00:00,0.476,0.524,0.0,BBC,RT @bbcthesocial: WTF is #hygge? https://t.co/M04sxI3XMt,22
22,0.0,2018-01-08 13:40:41+00:00,0.0,1.0,0.0,BBC,RT @bbcrb: Any spare paper laying about in your office? Donate some today ! 🐱 https://t.co/FWCGmnJK6Y,23
23,0.4019,2018-01-08 13:33:04+00:00,0.0,0.863,0.137,BBC,"New year, new me? 🤔 

🌋 🐎  From taking photos inside active volcanoes to jousting, here are 8 hobbies you probably… https://t.co/wGtHBd3TK1",24
24,0.0,2018-01-08 13:00:08+00:00,0.0,1.0,0.0,BBC,🏁🏎 This 16-year-old girl from East Kilbride has made F4 motor racing history. https://t.co/LHhhU6vKY8,25
25,0.8176,2018-01-08 12:40:13+00:00,0.0,0.702,0.298,BBC,RT @BBCCornwall: 🐬🐬 Even the dolphins had a lovely time playing in the #SundaySunshine in Mounts Bay 🌊🐬🐬🌞 Thanks to #drone operator Simon S…,26
26,0.0,2018-01-08 12:37:56+00:00,0.0,1.0,0.0,BBC,RT @BBC100women: The red carpet was a sea of black dresses and suits at the #GoldenGlobes.  Stars discuss #WhyWeWearBlack and make it very…,27
27,0.0,2018-01-08 12:37:14+00:00,0.0,1.0,0.0,BBC,"RT @BBCSpringwatch: 50 million trees are going to be planted 🌳
https://t.co/x4Enjn8H2A",28
28,0.1935,2018-01-08 12:37:05+00:00,0.0,0.836,0.164,BBC,"RT @bbccomedy: So, how you feeling today? 🤔😃 #MondayMotivation https://t.co/dyRd1shmfq",29
29,0.4019,2018-01-08 12:36:01+00:00,0.0,0.891,0.109,BBC,"RT @BBCOne: 🐱 Thick fur and enormous feet help Canada lynx deal with deep snow and arctic conditions. 

🆕 #BigCats, Thursday at 8pm on @BBC…",30
30,0.0,2018-01-08 12:29:03+00:00,0.0,1.0,0.0,BBC,"On what would have been #DavidBowie's 71st birthday, here are 8 life lessons we can take away from the Star Man's t… https://t.co/kbSD0N77jx",31
31,0.4939,2018-01-08 12:28:45+00:00,0.0,0.868,0.132,BBC,"RT @bbcasiannetwork: 🌿 ""They walk in the room and they let everybody know.""
@iamwill tells @HarpreetUK how he's been inspired to ditch the…",32
32,0.0,2018-01-08 11:53:03+00:00,0.0,1.0,0.0,BBC,"💡Our universe has a speed limit of 299,792 km p/s (which is also the rate at which light travels), but what is it t… https://t.co/dFDyB5aZ1F",33
33,0.0,2018-01-08 11:29:26+00:00,0.0,1.0,0.0,BBC,The biggest moments from last night's #GoldenGlobes. ✨ 👉 https://t.co/GZCJztqRln https://t.co/23LJXnf3wN,34
34,0.4215,2018-01-08 09:57:36+00:00,0.0,0.763,0.237,BBC,Some powerful speeches and statements from this year's #GoldenGlobes. https://t.co/ewKAhPtHoV,35
35,0.5994,2018-01-08 09:00:06+00:00,0.0,0.837,0.163,BBC,We have a 'supermoon trilogy' coming in January &amp; the final one - a 'Super Blue Blood Moon' - could be the most rar… https://t.co/nbwHZdXRSh,36
36,0.0,2018-01-08 08:46:52+00:00,0.0,1.0,0.0,BBC,RT @BBCWorld: Golden Globes 2018: Why stars wore black on the red carpet https://t.co/P4LUZTeOFQ,37
37,-0.4019,2018-01-08 08:46:36+00:00,0.177,0.742,0.081,BBC,RT @BBCEngland: Commuters face up to three days of disruption as staff at five train firms begin a fresh wave of strikes in separate disput…,38
38,0.0,2018-01-08 08:45:11+00:00,0.0,1.0,0.0,BBC,"RT @BBCNewsbeat: Here are the eight big moments from the #GoldenGlobes last night:

https://t.co/DzbliYugWt https://t.co/zDM1kl7WNm",39
39,0.2755,2018-01-08 08:44:58+00:00,0.0,0.883,0.117,BBC,RT @bbcthree: You'll never complain about your commute again after you see these bonkers journeys https://t.co/43I5HefpJ8 https://t.co/dzWJ…,40
40,0.4574,2018-01-08 08:44:11+00:00,0.0,0.87,0.13,BBC,"RT @bbcgetinspired: You can do it! 🙌 

@AdeleRoberts is on a mission to get you active with her January health hacks. #GetInspired #MondayM…",41
41,0.0,2018-01-08 08:44:05+00:00,0.0,1.0,0.0,BBC,"RT @bbcworldservice: ""The fact that we have an epidemic of depression... is telling us that we've built a society that doesn't match people…",42
42,0.0,2018-01-08 08:40:02+00:00,0.0,1.0,0.0,BBC,"Beef farmer Jay gave up his family farm to send his herd to live out their days in a sanctuary. 🐄❤️️
#EverydayHeroes https://t.co/IjBP8kxfNA",43
43,0.0,2018-01-08 08:40:00+00:00,0.0,1.0,0.0,BBC,"RT @BBC6Music: 👨‍🎤 Today would have been David Bowie's 71st Birthday. In 1973 on @BBC's Nationwide, he contemplated life after Ziggy Stardu…",44
44,0.0,2018-01-08 08:33:02+00:00,0.0,1.0,0.0,BBC,When you wake up and remember you're expected to work five whole days this week. 😒 #MondayMorning https://t.co/Ju3oKV1rep,45
45,0.0,2018-01-08 08:00:08+00:00,0.0,1.0,0.0,BBC,☕️😴 Why do some people need several cups of coffee just to get through the day? https://t.co/L3POHVgHjE,46
46,0.4588,2018-01-08 07:38:10+00:00,0.0,0.667,0.333,BBC,🌵🌺🌴 Preserving Morocco's grand gardens. https://t.co/Rh4tovuLZu https://t.co/KVYNRy7ZdT,47
47,0.2263,2018-01-07 20:03:03+00:00,0.107,0.734,0.158,BBC,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",48
48,0.7351,2018-01-07 19:30:04+00:00,0.0,0.721,0.279,BBC,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",49
49,0.0,2018-01-07 19:25:10+00:00,0.0,1.0,0.0,BBC,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,50
50,0.0,2018-01-07 19:22:48+00:00,0.0,1.0,0.0,BBC,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",51
51,0.0,2018-01-07 19:19:39+00:00,0.0,1.0,0.0,BBC,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",52
52,-0.1531,2018-01-07 19:18:56+00:00,0.074,0.926,0.0,BBC,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",53
53,0.3612,2018-01-07 19:00:05+00:00,0.0,0.898,0.102,BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",54
54,0.0,2018-01-07 18:32:03+00:00,0.0,1.0,0.0,BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",55
55,0.6369,2018-01-07 17:59:05+00:00,0.0,0.682,0.318,BBC,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,56
56,0.4215,2018-01-07 17:19:01+00:00,0.0,0.797,0.203,BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",57
57,0.128,2018-01-07 16:53:27+00:00,0.308,0.359,0.333,BBC,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",58
58,-0.0258,2018-01-07 16:34:03+00:00,0.155,0.695,0.15,BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,59
